Case ID,Activity,Start Timestamp
1,a,01.04.21 22:10
1,b,01.04.21 22:11
1,e,01.04.21 22:12
1,f,01.04.21 22:13
1,g,01.04.21 22:14
1,h,01.04.21 22:15
1,i,01.04.21 22:16
2,a,01.04.21 22:10
2,c,01.04.21 22:11
2,e,01.04.21 22:12
2,f,01.04.21 22:13
2,g,01.04.21 22:14
2,h,01.04.21 22:15
2,i,01.04.21 22:16
3,a,01.04.21 22:10
3,d,01.04.21 22:11
3,e,01.04.21 22:12
3,f,01.04.21 22:13
3,g,01.04.21 22:14
3,h,01.04.21 22:15
3,i,01.04.21 22:16
4,a,01.04.21 22:10
4,b,01.04.21 22:11
4,e,01.04.21 22:12
4,f,01.04.21 22:13
4,h,01.04.21 22:14
4,g,01.04.21 22:15
4,i,01.04.21 22:16
5,a,01.04.21 22:10
5,c,01.04.21 22:11
5,e,01.04.21 22:12
5,f,01.04.21 22:13
5,h,01.04.21 22:14
5,g,01.04.21 22:15
5,i,01.04.21 22:16
6,a,01.04.21 22:10
6,d,01.04.21 22:11
6,e,01.04.21 22:12
6,f,01.04.21 22:13
6,h,01.04.21 22:14
6,g,01.04.21 22:15
6,i,01.04.21 22:16
7,a,01.04.21 22:10
7,b,01.04.21 22:11
7,e,01.04.21 22:12
7,g,01.04.21 22:13
7,f,01.04.21 22:14
7,h,01.04.21 22:15
7,i,01.04.21 22:16
8,a,01.04.21 22:10
8,c,01.04.21 22:11
8,e,01.04.21 22:12
8,g,01.04.21 22:13
8,f,01.04.21 22:14
8,h,01.04.21 22:15
8,i,01.04.21 22:16
9,a,01.04.21 22:10
9,d,01.04.21 22:11
9,e,01.04.21 22:12
9,g,01.04.21 22:13
9,f,01.04.21 22:14
9,h,01.04.21 22:15
9,i,01.04.21 22:16
10,a,01.04.21 22:10
10,b,01.04.21 22:11
10,e,01.04.21 22:12
10,g,01.04.21 22:13
10,h,01.04.21 22:14
10,f,01.04.21 22:15
10,i,01.04.21 22:16
11,a,01.04.21 22:10
11,c,01.04.21 22:11
11,e,01.04.21 22:12
11,g,01.04.21 22:13
11,h,01.04.21 22:14
11,f,01.04.21 22:15
11,i,01.04.21 22:16
12,a,01.04.21 22:10
12,d,01.04.21 22:11
12,e,01.04.21 22:12
12,g,01.04.21 22:13
12,h,01.04.21 22:14
12,f,01.04.21 22:15
12,i,01.04.21 22:16
13,a,01.04.21 22:10
13,b,01.04.21 22:11
13,e,01.04.21 22:12
13,h,01.04.21 22:13
13,g,01.04.21 22:14
13,f,01.04.21 22:15
13,i,01.04.21 22:16
14,a,01.04.21 22:10
14,c,01.04.21 22:11
14,e,01.04.21 22:12
14,h,01.04.21 22:13
14,g,01.04.21 22:14
14,f,01.04.21 22:15
14,i,01.04.21 22:16
15,a,01.04.21 22:10
15,d,01.04.21 22:11
15,e,01.04.21 22:12
15,h,01.04.21 22:13
15,g,01.04.21 22:14
15,f,01.04.21 22:15
15,i,01.04.21 22:16
16,a,01.04.21 22:10
16,b,01.04.21 22:11
16,e,01.04.21 22:12
16,h,01.04.21 22:13
16,f,01.04.21 22:14
16,g,01.04.21 22:15
16,i,01.04.21 22:16
17,a,01.04.21 22:10
17,c,01.04.21 22:11
17,e,01.04.21 22:12
17,h,01.04.21 22:13
17,f,01.04.21 22:14
17,g,01.04.21 22:15
17,i,01.04.21 22:16
18,a,01.04.21 22:10
18,d,01.04.21 22:11
18,e,01.04.21 22:12
18,h,01.04.21 22:13
18,f,01.04.21 22:14
18,g,01.04.21 22:15
18,i,01.04.21 22:16
