Case ID,Activity,Start Timestamp
1,a,19.04.21 15:10
1,b,19.04.21 15:11
1,f,19.04.21 15:12
1,g,19.04.21 15:13
1,g,19.04.21 15:14
1,g,19.04.21 15:15
1,i,19.04.21 15:16
1,j,19.04.21 15:17
1,i,19.04.21 15:18
2,a,19.04.21 15:10
2,c,19.04.21 15:11
2,e,19.04.21 15:12
2,f,19.04.21 15:13
2,g,19.04.21 15:14
2,g,19.04.21 15:15
2,i,19.04.21 15:16
3,a,19.04.21 15:10
3,d,19.04.21 15:11
3,e,19.04.21 15:12
3,f,19.04.21 15:13
3,g,19.04.21 15:14
3,i,19.04.21 15:15
4,a,19.04.21 15:10
4,b,19.04.21 15:11
4,f,19.04.21 15:12
4,g,19.04.21 15:13
4,g,19.04.21 15:14
4,i,19.04.21 15:15
4,j,19.04.21 15:16
4,i,19.04.21 15:17
5,a,19.04.21 15:10
5,c,19.04.21 15:11
5,f,19.04.21 15:12
5,g,19.04.21 15:13
5,i,19.04.21 15:14
6,a,19.04.21 15:10
6,d,19.04.21 15:11
6,e,19.04.21 15:12
6,f,19.04.21 15:13
6,h,19.04.21 15:14
6,g,19.04.21 15:15
6,g,19.04.21 15:16
6,i,19.04.21 15:17
7,a,19.04.21 15:10
7,b,19.04.21 15:11
7,g,19.04.21 15:12
7,f,19.04.21 15:13
7,h,19.04.21 15:14
7,i,19.04.21 15:15
8,a,19.04.21 15:10
8,c,19.04.21 15:11
8,g,19.04.21 15:12
8,f,19.04.21 15:13
8,h,19.04.21 15:14
8,i,19.04.21 15:15
8,j,19.04.21 15:16
8,i,19.04.21 15:17
9,a,19.04.21 15:10
9,d,19.04.21 15:11
9,e,19.04.21 15:12
9,g,19.04.21 15:13
9,f,19.04.21 15:14
9,h,19.04.21 15:15
9,i,19.04.21 15:16
10,a,19.04.21 15:10
10,b,19.04.21 15:11
10,g,19.04.21 15:12
10,h,19.04.21 15:13
10,f,19.04.21 15:14
10,i,19.04.21 15:15
11,a,19.04.21 15:10
11,c,19.04.21 15:11
11,e,19.04.21 15:12
11,g,19.04.21 15:13
11,f,19.04.21 15:14
11,i,19.04.21 15:15
11,j,19.04.21 15:16
11,i,19.04.21 15:17
12,a,19.04.21 15:10
12,c,19.04.21 15:11
12,e,19.04.21 15:12
12,g,19.04.21 15:13
12,f,19.04.21 15:14
12,i,19.04.21 15:15
12,j,19.04.21 15:16
12,i,19.04.21 15:17
13,a,19.04.21 15:10
13,c,19.04.21 15:11
13,e,19.04.21 15:12
13,g,19.04.21 15:13
13,f,19.04.21 15:14
13,i,19.04.21 15:15
13,j,19.04.21 15:16
13,i,19.04.21 15:17
14,a,19.04.21 15:10
14,d,19.04.21 15:11
14,e,19.04.21 15:12
14,g,19.04.21 15:13
14,f,19.04.21 15:14
14,i,19.04.21 15:15
15,a,19.04.21 15:10
15,b,19.04.21 15:11
15,h,19.04.21 15:12
15,g,19.04.21 15:13
15,f,19.04.21 15:14
15,i,19.04.21 15:15
16,a,19.04.21 15:10
16,c,19.04.21 15:11
16,e,19.04.21 15:12
16,h,19.04.21 15:13
16,g,19.04.21 15:14
16,g,19.04.21 15:15
16,f,19.04.21 15:16
16,i,19.04.21 15:17
17,a,19.04.21 15:10
17,d,19.04.21 15:11
17,h,19.04.21 15:12
17,g,19.04.21 15:13
17,f,19.04.21 15:14
17,i,19.04.21 15:15
18,a,19.04.21 15:10
18,b,19.04.21 15:11
18,e,19.04.21 15:12
18,h,19.04.21 15:13
18,f,19.04.21 15:14
18,g,19.04.21 15:15
18,g,19.04.21 15:16
18,i,19.04.21 15:17
18,j,19.04.21 15:18
18,i,19.04.21 15:19
19,a,19.04.21 15:10
19,b,19.04.21 15:11
19,e,19.04.21 15:12
19,h,19.04.21 15:13
19,f,19.04.21 15:14
19,g,19.04.21 15:15
19,g,19.04.21 15:16
19,i,19.04.21 15:17
19,j,19.04.21 15:18
19,i,19.04.21 15:19
20,a,19.04.21 15:10
20,b,19.04.21 15:11
20,e,19.04.21 15:12
20,h,19.04.21 15:13
20,f,19.04.21 15:14
20,g,19.04.21 15:15
20,g,19.04.21 15:16
20,i,19.04.21 15:17
20,j,19.04.21 15:18
20,i,19.04.21 15:19
21,a,19.04.21 15:10
21,c,19.04.21 15:11
21,h,19.04.21 15:12
21,f,19.04.21 15:13
21,g,19.04.21 15:14
21,g,19.04.21 15:15
21,i,19.04.21 15:16
22,a,19.04.21 15:10
22,d,19.04.21 15:11
22,e,19.04.21 15:12
22,h,19.04.21 15:13
22,f,19.04.21 15:14
22,g,19.04.21 15:15
22,i,19.04.21 15:16
