Case ID,Activity,Start Timestamp
1,a,01.04.21 22:10
1,b,01.04.21 22:11
1,c,01.04.21 22:12
1,d,01.04.21 22:13
1,e,01.04.21 22:14
1,g,01.04.21 22:15
2,a,01.04.21 22:10
2,b,01.04.21 22:11
2,c,01.04.21 22:12
2,d,01.04.21 22:13
2,f,01.04.21 22:14
2,g,01.04.21 22:15
3,a,01.04.21 22:10
3,c,01.04.21 22:11
3,b,01.04.21 22:12
3,d,01.04.21 22:13
3,e,01.04.21 22:14
3,g,01.04.21 22:15
4,a,01.04.21 22:10
4,c,01.04.21 22:11
4,b,01.04.21 22:12
4,d,01.04.21 22:13
4,f,01.04.21 22:14
4,g,01.04.21 22:15
5,a,01.04.21 22:10
5,b,01.04.21 22:11
5,c,01.04.21 22:12
5,d,01.04.21 22:13
5,e,01.04.21 22:14
5,g,01.04.21 22:15
5,a,01.04.21 22:16
5,c,01.04.21 22:17
5,b,01.04.21 22:18
5,d,01.04.21 22:19
5,f,01.04.21 22:20
5,g,01.04.21 22:21
6,a,01.04.21 22:10
6,b,01.04.21 22:11
6,c,01.04.21 22:12
6,d,01.04.21 22:13
6,f,01.04.21 22:14
6,g,01.04.21 22:15
6,a,01.04.21 22:16
6,b,01.04.21 22:17
6,c,01.04.21 22:18
6,d,01.04.21 22:19
6,f,01.04.21 22:20
6,g,01.04.21 22:21
7,a,01.04.21 22:10
7,c,01.04.21 22:11
7,b,01.04.21 22:12
7,d,01.04.21 22:13
7,e,01.04.21 22:14
7,g,01.04.21 22:15
7,a,01.04.21 22:16
7,b,01.04.21 22:17
7,c,01.04.21 22:18
7,d,01.04.21 22:19
7,e,01.04.21 22:20
7,g,01.04.21 22:21
8,a,01.04.21 22:10
8,c,01.04.21 22:11
8,b,01.04.21 22:12
8,d,01.04.21 22:13
8,f,01.04.21 22:14
8,g,01.04.21 22:15
8,a,01.04.21 22:16
8,b,01.04.21 22:17
8,c,01.04.21 22:18
8,d,01.04.21 22:19
8,e,01.04.21 22:20
8,g,01.04.21 22:21
9,a,01.04.21 22:10
9,b,01.04.21 22:11
9,c,01.04.21 22:12
9,d,01.04.21 22:13
9,f,01.04.21 22:14
9,g,01.04.21 22:15
9,a,01.04.21 22:16
9,c,01.04.21 22:17
9,b,01.04.21 22:18
9,d,01.04.21 22:19
9,e,01.04.21 22:20
9,g,01.04.21 22:21
