Case ID,Activity,Start Timestamp
1,a,19.04.21 15:10
1,b,19.04.21 15:11
1,c,19.04.21 15:12
1,c,19.04.21 15:13
1,c,19.04.21 15:14
1,e,19.04.21 15:15
1,f,19.04.21 15:16
2,a,19.04.21 15:10
2,c,19.04.21 15:11
2,b,19.04.21 15:12
2,c,19.04.21 15:13
2,c,19.04.21 15:14
2,d,19.04.21 15:15
2,f,19.04.21 15:16
3,a,19.04.21 15:10
3,c,19.04.21 15:11
3,c,19.04.21 15:12
3,b,19.04.21 15:13
3,c,19.04.21 15:14
3,d,19.04.21 15:15
3,f,19.04.21 15:16
4,a,19.04.21 15:10
4,c,19.04.21 15:11
4,b,19.04.21 15:12
4,e,19.04.21 15:13
4,f,19.04.21 15:14
5,a,19.04.21 15:10
5,b,19.04.21 15:11
5,c,19.04.21 15:12
5,d,19.04.21 15:13
5,f,19.04.21 15:14
6,a,19.04.21 15:10
6,c,19.04.21 15:11
6,b,19.04.21 15:12
6,d,19.04.21 15:13
6,f,19.04.21 15:14
7,a,19.04.21 15:10
7,c,19.04.21 15:11
7,d,19.04.21 15:12
7,f,19.04.21 15:13
8,a,19.04.21 15:10
8,c,19.04.21 15:11
8,b,19.04.21 15:12
8,f,19.04.21 15:13
9,a,19.04.21 15:10
9,b,19.04.21 15:11
9,c,19.04.21 15:12
9,f,19.04.21 15:13
10,a,19.04.21 15:10
10,b,19.04.21 15:11
10,d,19.04.21 15:12
10,f,19.04.21 15:13
11,a,19.04.21 15:10
11,c,19.04.21 15:11
11,d,19.04.21 15:12
11,f,19.04.21 15:13
12,a,19.04.21 15:10
12,c,19.04.21 15:11
12,d,19.04.21 15:12
12,f,19.04.21 15:13
13,a,19.04.21 15:10
13,c,19.04.21 15:11
13,b,19.04.21 15:12
13,f,19.04.21 15:13
14,a,19.04.21 15:10
14,b,19.04.21 15:11
14,c,19.04.21 15:12
14,f,19.04.21 15:13
15,a,19.04.21 15:10
15,b,19.04.21 15:11
15,d,19.04.21 15:12
15,f,19.04.21 15:13
16,a,19.04.21 15:10
16,c,19.04.21 15:11
16,d,19.04.21 15:12
16,f,19.04.21 15:13
17,a,19.04.21 15:10
17,b,19.04.21 15:11
17,d,19.04.21 15:12
17,f,19.04.21 15:13
18,a,19.04.21 15:10
18,c,19.04.21 15:11
18,f,19.04.21 15:12
19,a,19.04.21 15:10
19,b,19.04.21 15:11
19,f,19.04.21 15:12
20,a,19.04.21 15:10
20,c,19.04.21 15:11
20,f,19.04.21 15:12
21,a,19.04.21 15:10
21,b,19.04.21 15:11
21,f,19.04.21 15:12
22,a,19.04.21 15:10
22,c,19.04.21 15:11
22,f,19.04.21 15:12
23,a,19.04.21 15:10
23,b,19.04.21 15:11
23,f,19.04.21 15:12
